Unit,Value,iso2,Value_MWh,Total_Sum,scale_factor
TWh,166.1,AR,166100000.0,201303579.939099,1.2119420827158278
TWh,274.91,AU,274910000.0,258646511.0850438,0.940840679076948
TWh,118.85,BD,118850000.0,80135613.08303328,0.6742584188728084
TWh,12.15,BO,12150000.0,11338090.56244372,0.9331761779789071
TWh,726.09,BR,726090000.0,776576954.4208453,1.0695326397841112
TWh,607.36,CA,607360000.0,624010490.1961795,1.0274145320669446
TWh,83.61,CL,83610000.0,99128879.81354359,1.185610331462069
TWh,9447.44,CN,9447440000.0,8255529852.088451,0.8738377647371618
TWh,87.17,CO,87170000.0,93945043.5701068,1.0777221930722358
TWh,12.32,CR,12320000.0,14391074.57880729,1.1681067028252672
TWh,5.39,CY,5390000.0,5033289.598170322,0.9338199625547908
TWh,35.47,EC,35470000.0,33405638.68788897,0.9417997938508308
TWh,199.52,EG,199520000.0,281452134.1575402,1.4106462217198286
TWh,7.92,SV,7920000.0,8707707.472173987,1.0994580141633823
TWh,13.69,GE,13690000.0,11720341.80599059,0.8561243101527093
TWh,1956.97,IN,1956970000.0,1890214923.363368,0.9658885539192569
TWh,350.6,ID,350600000.0,309073551.4245567,0.8815560508401502
TWh,355.61,IR,355610000.0,423918283.2114843,1.192087633113479
TWh,1013.51,JP,1013510000.0,1132924460.400228,1.1178226760468353
TWh,113.06,KZ,113060000.0,108001832.6478595,0.9552612121692862
TWh,13.01,KE,13010000.0,14841533.95293101,1.1407789356595703
TWh,7.67,XK,7670000.0,0.0,
TWh,90.84,KW,90840000.0,112463466.4288479,1.2380390403880217
TWh,184.85,MY,184850000.0,193534014.3281805,1.0469787088351663
TWh,3.19,MT,3190000.0,2506855.717647837,0.7858481873504192
TWh,356.44,MX,356440000.0,397982667.2519344,1.116548836415482
TWh,5.95,MD,5950000.0,6083083.131450653,1.0223669128488493
TWh,9.94,MN,9940000.0,8832016.967846151,0.8885328941495122
TWh,44.7,MA,44700000.0,55978107.30576611,1.2523066511357073
TWh,16.83,MM,16830000.0,23045816.53358938,1.369329562304776
TWh,44.52,NZ,44520000.0,44114280.81318745,0.9908868107184962
TWh,40.65,NG,40650000.0,46443294.19055002,1.142516462252153
TWh,45.47,OM,45470000.0,51033117.06286782,1.1223469774107724
TWh,161.55,PK,161550000.0,146046018.1070875,0.9040298242469049
TWh,59.97,PE,59970000.0,66510127.3812295,1.1090566513461646
TWh,118.25,PH,118250000.0,113280561.3760354,0.9579751490573819
TWh,18.6,PR,18600000.0,0.0,
TWh,54.39,QA,54390000.0,69266732.30238982,1.2735196231364188
TWh,1168.5,RU,1168500000.0,0.0,
TWh,57.33,SG,57330000.0,66391785.59514823,1.1580635896589608
TWh,225.67,ZA,225670000.0,355103556.5220754,1.573552339797383
TWh,614.19,KR,614190000.0,721971198.8814404,1.1754851086495066
TWh,281.5,TW,281500000.0,335702481.6639001,1.1925487803335704
TWh,219.83,TH,219830000.0,275773916.9770348,1.2544871808990348
TWh,23.6,TN,23600000.0,29882352.74921019,1.266201387678398
TWh,323.8,TR,323800000.0,292549339.9628754,0.9034877701138834
TWh,4268.02,US,4268020000.0000005,4650375153.885124,1.089586073609103
TWh,13.6,UY,13600000.0,15951452.82980704,1.1729009433681648
TWh,266.66,VN,266660000.00000003,211246363.9861363,0.7921936697897557
